id,label,Americas,Africa_Europe,Asia_Australia,ratioAmericas,ratioAfrica_Europe,ratioAsia_Australia,ratioMax,total
@anchaltv,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@scottlazarusxxx,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@garciabr1973,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#rich_energy,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@cplusarmy36,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@cbavenida,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@_abdiii23,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@garenghallu,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@callmechingu,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@megumerutan,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@yasministryindia,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@k8lyndevine,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@kiffaroaster,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@jj1916jj,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#godawgs,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#promotegenderequality,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@myogiadityanath,Asia_Australia,0,0,8,0.0,0.0,1.0,1.0,8
@adenauer_robert,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#สว,Asia_Australia,0,0,2,0.0,0.0,1.0,1.0,2
#letkidsplay,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#hateful,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@korat2020,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@dehna_yvi,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#doniván,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@gabirosales93,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#のまぐちひろし,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#nuka,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@stojkovicemilii,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@tankcrimes,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@ho_rock_st_,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@jools_miss,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@enfermocerrista,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#walktocurearthritis,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@druminator228,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@ama_s920,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@vanranstmarc,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@nakedned,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#meganmarkle,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@gvarnu,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@innuuung,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@shamus_clancy,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@clhebdo5,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@gonzabarre,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@fanfancoq,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@puter1916,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#xlacaraecca,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@dafne21698751,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@ukrunchat,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@sinta_kak,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@davelackie,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@thomascrayon,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@firlef,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#tequieroxeso,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@freireeluana,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@hwrror,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@kubraa_nurrr_,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@aatbirds,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@gnz_neto,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@christsfreeserv,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@tppatriots,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@supersix_gans,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@lgpornstar,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#charliebrown,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#iphone12pro,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@thcurdy,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#高円寺カフェ,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@ladh,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@smmmveligok,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@corriereanimali,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@waltwilliams98,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#bike,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@kryes,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@daniellariida,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@leicspilgrim,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#coupedefrance,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@liamgallagher,Africa_Europe,0,3,0,0.0,1.0,0.0,1.0,3
@afneil,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#martialtrust,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@gustavorainert,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@kikegilxxx,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#owned,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#สน,Asia_Australia,0,0,2,0.0,0.0,1.0,1.0,2
@razi_razi11,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@finaldiscepolo,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@slightlyhuman_,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@domizzowday,Americas,2,0,0,1.0,0.0,0.0,1.0,2
@silviocena,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@aventador_0105,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@matos_jessicaa,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@ollerye,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@onuristik26,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@edatabi_jp,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@zyagakky,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@nasykka,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@nickstefan,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@hq_sco,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@darwingonzalezp,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@koratay,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@cnnbrasil,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#小栗旬,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#stevenage,Africa_Europe,0,2,0,0.0,1.0,0.0,1.0,2
@qplqd,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@onelesscarakl,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@diablosrojosmx,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@sanjukta,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@dutyfreecobe,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@mgmariagrazia,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#upandabout,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@martinirossius,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@jules1327,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#話題,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@kilo_loco,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@leonicemariana1,Americas,2,0,0,1.0,0.0,0.0,1.0,2
@fawazalamair,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@ademirquintino,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@carolpofia,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@thefuriousmoose,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@costajje,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@jornadafutmondo,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@cpsunion,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@samguptausa,Americas,2,0,0,1.0,0.0,0.0,1.0,2
@sbomoment,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@iarapatriciaa,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
